projsym,method,abstract,mpdsector,paneldesc,nstrains,sexes,pophints,intervention,ages,pistring,projyear
Svenson4,DXA,"Body mass, fat mass, lean mass, bone mineral density and content.",pheno,"B6.PWD consomic w/par",28,both,,,16wks,"Svenson KL, Forejt J, Donahue L, Paigen B",2006
Taft1,"assisted reproduction","Performance following assisted reproductive technologies.",pheno,inbred,10,f,,,various,"Taft RA, Byers SL",2006
Tarantino1,"body weight",,pheno,inbred,45,m,,cocaine,8-11wks,"Tarantino LM, Wiltshire T",2015
Tarantino1,"open field test","Locomotor activity. Baseline (saline) vs. cocaine 20 mg/kg i.p. 30 min test.",pheno,inbred,45,m,,cocaine,8-11wks,"Tarantino LM, Wiltshire T",2015
Tarantino2,"open field test","Locomotor activity and exploratory behavior. Mice with ovariectomy surgery vs. controls (sham surgery), 10 min test.",pheno,inbred,37,f,,ovariectomy,8-10wks,"Tarantino LM",2016
Tarantino2,"forced swim test","Mice with ovariectomy surgery vs. controls (sham surgery), 6 min test.",pheno,inbred,37,f,,ovariectomy,8-10wks,"Tarantino LM",2016
Thomsen1,"open field test","Locomotor activity. Baseline (saline) vs. cocaine i.p. (several doses). 1.3h and 2.3 h duration.",pheno,inbred,15,both,,cocaine,8-10wks,"Thomsen M, Caine SB",2011
Thomsen2,"open field test","Locomotor activity. Baseline (saline) vs. dopamine agonists i.p. (several doses). 3h session.",pheno,inbred,15,both,,"quinelorane, R-6-Br-APB",8-10wks,"Thomsen M, Caine SB",2011
Threadgill1,"metabolic panel","Blood urea nitrogen, alanine transaminase, aspartate transaminase (serum), liver enzyme homeostasis. Acetaminophen (several doses) vs. control, several timepoints post-Rx. 18h fast.",pheno,"inbred w/CC7",37,m,,acetaminophen,8-17wks,"Threadgill DW, Harrill A, Rusyn I",2005
Threadgill1,histopathology,"Liver histopathology, necrosis after acetaminophen vs. control. 18h fast.",pheno,"inbred w/CC7",37,m,,acetaminophen,8-17wks,"Threadgill DW, Harrill A, Rusyn I",2005
Threadgill1,"metabolite quantification","Liver protein homeostasis. Acetaminophen vs. control. 18h fast.",pheno,"inbred w/CC7",37,m,,acetaminophen,8-17wks,"Threadgill DW, Harrill A, Rusyn I",2005
Threadgill1,"biomarker quantification","Liver cytochrome isoforms. Acetaminophen vs. control. 18h fast.",pheno,"inbred w/CC7",37,m,,acetaminophen,8-17wks,"Threadgill DW, Harrill A, Rusyn I",2005
Threadgill1,"organ weights","Liver weight after acetaminophen (several doses) vs. control. 18h fast.",pheno,"inbred w/CC7",37,m,,acetaminophen,8-17wks,"Threadgill DW, Harrill A, Rusyn I",2005
Threadgill2,"metabolic panel","Alanine transaminase (serum). Acetaminophen (several doses) vs. control.",pheno,inbred,5,m,,acetaminophen,6-8wks,"Threadgill DW, Harrill A",2005
Threadgill2,"metabolite quantification",Glutathione.,pheno,inbred,5,m,,acetaminophen,6-8wks,"Threadgill DW, Harrill A",2005
Threadgill2,"drug and metabolite quantification","Acetaminophen metabolite concentrations (serum) and liver protein homeostasis. Baseline vs. acetaminophen (several doses, several timepoints).",pheno,inbred,5,m,,acetaminophen,6-8wks,"Threadgill DW, Harrill A",2005
Threadgill2,histopathology,"Liver histopathology, necrosis, injury after acetaminophen vs. control. 18h fast.",pheno,inbred,5,m,,acetaminophen,6-8wks,"Threadgill DW, Harrill A",2005
Tomasini1,"biomarker quantification",Fibronectin.,pheno,inbred,25,both,,,9wks,"Tomasini-Johansson BR, Mosher DF",2007
Tordoff1,"body weight","Body weight during testing.",pheno,inbred,28,m,,,9wks,"Tordoff MG, Bachmanov AA",2001
Tordoff1,"bottle choice test","Various salt solutions (several concentrations) vs. water.",pheno,inbred,28,m,,,9wks,"Tordoff MG, Bachmanov AA",2001
Tordoff2,"body weight",,pheno,inbred,28,m,,,4-12wks,"Tordoff MG, Bachmanov AA",2001
Tordoff2,"intake monitoring","Food intake, water intake. Daily.",pheno,inbred,28,m,,,4-12wks,"Tordoff MG, Bachmanov AA",2001
Tordoff3,"body weight",,pheno,"inbred w/CC7",40,both,,,9-15wks,"Tordoff MG, Bachmanov AA",2002
Tordoff3,"bottle choice test","Various salt solutions (several concentrations) vs. water.",pheno,"inbred w/CC7",40,both,,,9-15wks,"Tordoff MG, Bachmanov AA",2002
Tordoff3,DXA,"Body mass, fat mass, lean mass, bone mineral density and content.",pheno,"inbred w/CC7",40,both,,,9-15wks,"Tordoff MG, Bachmanov AA",2002
Tordoff3,"metabolic panel","Ionized and total blood calcium, blood pH.",pheno,"inbred w/CC7",40,both,,,9-15wks,"Tordoff MG, Bachmanov AA",2002
Tordoff3,"monitoring system","Bleeding time to collect approx 30 &micro;L.",pheno,"inbred w/CC7",40,both,,,9-15wks,"Tordoff MG, Bachmanov AA",2002
Trullas1,"elevated plus maze","Exploratory and anxiety-related behaviors. 5 min test.",pheno,inbred,16,m,,,6-8wks,"Trullas R, Skolnick P",1993
Trullas1,"open field test","Locomotor activity under dim lights vs. bright lights. 5 min test.",pheno,inbred,16,m,,,6-8wks,"Trullas R, Skolnick P",1993
Trullas1,"monitoring system","Novelty-induced fear test. Eating inhibition due to novelty of environment. 10 min test.",pheno,inbred,16,m,,,6-8wks,"Trullas R, Skolnick P",1993
Trullas1,"hormone quantification","Corticosterone levels (plasma). Baseline vs. after stress (30 min in restraining cage).",pheno,inbred,16,m,,,6-8wks,"Trullas R, Skolnick P",1993
Tsaih1,"study archive","Brain weight, body weight.",qtla,"QTL population",,both,"inbred intercross (RIX) hybrids",,,"Tsaih SW, Churchill GA",2005
UCLA1,genotyping,"SNP profiling, 132,000+ genomic locations, 1-19,X",snp,HMDP,248,both,,,,"Eskin E",2018
UNC-MMUGA2,genotyping,"SNP profiling, 76,000+ genomic locations, 1-19,X,MT",snp,"CC w/par",77,both,,,,"UNC Systems Genetics",2017
Vanderlinden1,"body weight",,pheno,ILSXISS,43,both,,,8-23wks,"Vanderlinden LA, Saba L, Bennett B, Hoffman PA, Tabakoff B",2015
Vanderlinden1,"intake monitoring","Ethanol consumed during 2h availability during dark phase. 4 days/trials with variations.",pheno,ILSXISS,43,both,,,8-23wks,"Vanderlinden LA, Saba L, Bennett B, Hoffman PA, Tabakoff B",2015
Vinyard1,"body weight",,pheno,inbred,21,both,,,6-8wks,"Vinyard CJ, Payseur BA",2009
Vinyard1,"bone dimensions","Craniofacial bone dimensions.",pheno,inbred,21,both,,,6-8wks,"Vinyard CJ, Payseur BA",2009
Vulpe1,"mineral quantification","Liver mineral levels. Iron, copper, zinc. Iron homeostasis.",pheno,inbred,18,both,,,8wks,"McLachlan S, Vulpe CD",2010
Vulpe1,"transferrin quantification","Diferric transferrin (plasma).",pheno,inbred,18,both,,,8wks,"McLachlan S, Vulpe CD",2010
Wahlsten1,"organ weights","Brain weight.",pheno,inbred,21,both,,,"9, 12 wks","Wahlsten D, Crabbe JC",2003
Wahlsten1,"open field test","Locomotor, exploratory, and anxiety-related behavior. 5 min test.",pheno,inbred,21,both,,,"9, 12 wks","Wahlsten D, Crabbe JC",2003
Wahlsten1,"elevated plus maze","Locomotor, exploratory, and anxiety-related behavior.",pheno,inbred,21,both,,,"9, 12 wks","Wahlsten D, Crabbe JC",2003
Wahlsten1,histopathology,"Corpus callosum, hippocampus, anterior commisure.",pheno,inbred,21,both,,,"9, 12 wks","Wahlsten D, Crabbe JC",2003
Wahlsten2,"behavior observation","Wildness scoring during various phenotyping tests.",pheno,inbred,21,both,,,10-12wks,"Wahlsten D, Crabbe JC, Metten P",2003
Wang1,"study archive","Lipids (plasma). Cholesterol, inducibility, triglycerides, atherosclerosis lesions.",qtla,"QTL population",,f,"C57BL/6J and NZB/BlNJ advanced intercross lines","high-fat diet",10-23wks,"Wang X, Churchill GA",2003
Wergedal1,"study archive","Bone mineral density, thickness, strength.",qtla,"QTL population",,f,"NZB/BlNJ x RF/J F2 intercross",,10wks,"Wergedal JE, Churchill GA",2006
Williams1,"immune cell quantification","CD4 T cells, various populations.",pheno,inbred,5,f,,,8wks,"Williams RB",2012
Willott1,"body weight",,pheno,"inbred w/CC7",40,both,,,5-6wks,"Willott JF, Johnson KR",2002
Willott1,"acoustic startle test","Acoustic startle response, prepulse inhibition.",pheno,"inbred w/CC7",40,both,,,5-6wks,"Willott JF, Johnson KR",2002
Wiltshire1,"elevated plus maze","Locomotor activity.",pheno,inbred,38,both,,,12-14wks,"Wiltshire T, Tarantino LM",2010
Wiltshire1,"open field test","Locomotor activity.",pheno,inbred,38,both,,,12-14wks,"Wiltshire T, Tarantino LM",2010
Wiltshire1,"light-dark box","Light-dark test. Anxiety-related behavior.",pheno,inbred,38,both,,,12-14wks,"Wiltshire T, Tarantino LM",2010
Wiltshire2,"tail suspension test","Immobility. Fluoxetine-treated vs. control. 5 min test.",pheno,inbred,30,m,,fluoxetine,9-11wks,"Wiltshire T, Pletcher MT",2011
Wiltshire2,"open field test","Locomotor activity, exploratory and anxiety-related behavior. Fluoxetine-treated vs. control. 7 min test.",pheno,inbred,30,m,,fluoxetine,9-11wks,"Wiltshire T, Pletcher MT",2011
Wiltshire2,"drug and metabolite quantification","Fluoxetine and norfluoxetine concentration (serum) after fluoxetine.",pheno,inbred,30,m,,fluoxetine,9-11wks,"Wiltshire T, Pletcher MT",2011
Wiltshire3,"biomarker quantification","Brain tissue survey of 30 biochemical analytes. Fluoxetine-treated vs. control. 21d.",pheno,inbred,30,m,,fluoxetine,10-11wks,"Wiltshire T, Pletcher MT",2011
Wiltshire4,"immune cell quantification","In vitro study of 4 cancer chemotherapies (BEZ235, doxorubicin, idarubicin, selumetinib) vs. control. Effect on immune cells. Normalized data.",pheno,"inbred w/CC7",36,m,,"cancer drugs",10wks,"Wiltshire T",2015
Wirth1,"study archive","Peripheral blood parameters.",phenoarchive,inbred,8,both,,,,"Wirth-Dzieciolowska E, Karaszewska J",2009
Wittenburg1,"study archive","Liver weight, gallbladder and gallstone histopathology.",qtla,"QTL population",,both,"AKR/J and SWR/J reciprocal backcrosses","high-fat diet",18-20wks,"Wittenberg H, Churchill GA",2002
Wittenburg2,"study archive","Lipids (plasma), liver weight, gallbladder and gallstone histopathology.",qtla,"QTL population",,both,"PERA/EiJ and I/LnJ reciprocal backcrosses","high-fat diet",6-16wks,"Wittenberg H, Churchill GA",2003
Wittenburg3,"study archive","Lipids (plasma), liver weight, gallbladder and gallstone histopathology.",qtla,"QTL population",,both,"DBA/2J and PERA/EiJ intercross","high-fat diet",,"Wittenberg H, Churchill GA",2005
Xing1,ECG,"Heart rate and wave intervals. Conscious. Aging study, 6mo, 12mo, 20mo.",pheno,inbred,29,both,,,"26, 52, 87 wks","Xing S, Korstanje R, Paigen B",2008
Xing2,"gait analysis","Aging study, 6mo, 12mo, 18mo.",pheno,inbred,31,both,,,"26, 52, 78 wks","Xing S, Paigen B",2010
Xiong1,"study archive","Circadian behavior.",qtla,"QTL population",,m,"C57BL/6J x 129S1/SvImJ backcross",,9-34wks,"Xiong H, Churchill GA",2011
Yi1,"study archive","Body weight (several timepoints) and liver weight.",qtla,"QTL population",,both,"M16i x CAST backcross",,2-12wks,"Yi N, Cheverud JM",2007
Yuan1,"body weight","Aging study, 6mo, 12mo, and 18mo.",pheno,inbred,33,both,,,"26, 52, 78 wks","Yuan R, Rosen CJ, Beamer WG",2007
Yuan1,"hormone quantification","Insulin-like growth factor 1 (serum). Aging study, 6mo, 12mo, and 18mo.",pheno,inbred,33,both,,,"26, 52, 78 wks","Yuan R, Rosen CJ, Beamer WG",2007
Yuan2,"colony observation","Life span study. Survival curves. Aging study.",pheno,inbred,31,both,,,"max lifespan","Yuan R, Ackert-Bicknell C, Paigen B, Peters LL",2007
Yuan3,"metabolic panel","Clinical blood chemistry. Aging study, 6mo, 12mo, 18mo.",pheno,inbred,32,both,,,"26, 52, 78 wks","Yuan R, Korstanje R",2008
Yuan3,"lipid profile","Cholesterol (HDL). Aging study, 6mo, 12mo, 18mo. 4h fast, plasma.",pheno,inbred,32,both,,,"26, 52, 78 wks","Yuan R, Korstanje R",2008
Yuan4,"colony observation","Observed age at vaginal opening (patency). Aging study.",pheno,inbred,33,f,,,2-9wks,"Yuan R",2009
Yuan5,"study archive","Plasma levels of P-selectin and soluble vascular cell adhesion molecule-1.",qtla,"QTL population",,f,apoE-/-,,18wks,"Yuan Z, Churchill GA",2008
Zhang1,"study archive","Atherosclerosis and glucose homeostasis. Lesions, lipids, glucose, insulin. High-fat, western-style diet.",qtla,"QTL population",,f,"C57BL/6 x BALB/cJ intercross","western diet",<6-18wks,"Zhang Z, Churchill GA",2012
Zheng1,tympanometry,"Middle ear function.",pheno,inbred,61,both,,,15-51d,"Zheng QY",2008
